0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,-0.48631578947368426,-1.0,-0.33333333333333337,-1.0,0.7142857142857142,0.5555555555555554,-0.9122807017543859,1.0,1.0,-0.9701492537313433,-1.0,-1.0,-0.798,-1.0,-1.0
-1.0,0.3509774436090225,-0.6814285714285715,-0.33333333333333337,-1.0,0.4285714285714284,-0.33333333333333337,-0.7866666666666666,1.0,1.0,-0.8208955223880597,-1.0,-1.0,-0.957,-0.9888,-1.0
-1.0,-0.6766917293233082,-0.9642857142857143,-0.33333333333333337,-1.0,0.4285714285714284,-0.33333333333333337,-0.8947368421052632,1.0,-1.0,-1.0,-1.0,-1.0,-0.72,-0.98352,-1.0
0.0,-0.5765413533834587,-0.89,-0.33333333333333337,-1.0,0.7142857142857142,0.5555555555555554,-0.736842105263158,1.0,1.0,-0.8507462686567164,1.0,-1.0,-0.9,-0.99994,-1.0
0.0,-0.8069172932330826,-0.5982142857142858,-0.33333333333333337,-1.0,0.7142857142857142,0.5555555555555554,-0.88,1.0,-1.0,-1.0,-1.0,1.0,-0.88,-1.0,-1.0
0.0,-0.4487218045112782,-0.7142857142857143,-0.33333333333333337,-1.0,0.2857142857142856,0.5555555555555554,-0.8245614035087719,1.0,-1.0,-1.0,1.0,-1.0,-0.64,-1.0,-1.0
0.0,-0.41593984962406005,-0.9257142857142857,-0.33333333333333337,-1.0,0.5714285714285714,-0.33333333333333337,-0.543859649122807,1.0,-1.0,-1.0,1.0,-1.0,-0.836,-0.37429999999999997,-1.0
-1.0,-0.7242105263157894,-0.1725,-0.33333333333333337,-1.0,-0.7142857142857143,0.5555555555555554,-0.9971929824561403,1.0,-1.0,-1.0,-1.0,-1.0,-0.92,-0.97302,-1.0
0.0,0.22315789473684222,-0.9642857142857143,0.33333333333333326,0.33333333333333326,0.1428571428571428,-0.33333333333333337,-0.7221052631578948,1.0,-1.0,-1.0,-1.0,-1.0,-0.8200000000000001,-0.99372,-1.0
0.0,-0.13533834586466154,-0.6489285714285715,0.33333333333333326,0.33333333333333326,0.7142857142857142,0.5555555555555554,-0.7778947368421053,1.0,-1.0,-1.0,1.0,-1.0,-0.948,-0.97116,-1.0
0.0,-0.7494736842105263,-0.9407142857142857,-0.33333333333333337,-1.0,-0.8571428571428572,-0.33333333333333337,-0.8480701754385965,-1.0,-1.0,-1.0,1.0,-1.0,-0.872,-1.0,-1.0
0.0,-0.5136842105263157,-0.8689285714285715,-0.33333333333333337,-1.0,-0.8571428571428572,-0.33333333333333337,-0.6957894736842105,1.0,-1.0,-1.0,-1.0,-1.0,-0.74,-0.996,-1.0
-1.0,-0.26315789473684204,-0.5714285714285714,-0.33333333333333337,-1.0,0.1428571428571428,0.5555555555555554,-0.9298245614035088,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
0.0,0.03248120300751878,-0.5685714285714286,-0.33333333333333337,-1.0,0.1428571428571428,0.5555555555555554,-0.9971929824561403,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9462,-1.0
-1.0,-0.0351879699248121,-0.25,-0.33333333333333337,-1.0,0.4285714285714284,0.5555555555555554,-0.6491228070175439,1.0,1.0,-0.791044776119403,1.0,-1.0,-1.0,-1.0,-1.0
0.0,-0.31067669172932333,-0.6846428571428571,0.33333333333333326,0.33333333333333326,0.1428571428571428,0.5555555555555554,-0.9824561403508771,1.0,1.0,-0.7014925373134329,1.0,-1.0,-0.6799999999999999,-1.0,-1.0
0.0,-0.5639097744360901,-0.9375,-0.33333333333333337,-1.0,0.2857142857142856,0.5555555555555554,-0.9326315789473685,1.0,1.0,-0.9104477611940298,1.0,-1.0,-0.604,-1.0,-1.0
-1.0,-0.7142857142857142,-0.5803571428571429,-0.33333333333333337,-1.0,0.4285714285714284,0.5555555555555554,-0.7775438596491229,1.0,1.0,-0.7014925373134329,-1.0,-1.0,-0.88,-0.9951,-1.0
0.0,-0.7569924812030076,-0.9821428571428571,-0.33333333333333337,-1.0,-0.5714285714285714,-0.33333333333333337,-0.9533333333333334,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-0.8369924812030074,-0.3867857142857143,-0.33333333333333337,-1.0,-0.7142857142857143,-0.33333333333333337,-0.9473684210526316,1.0,1.0,-0.791044776119403,-1.0,-1.0,-0.904,-1.0,-1.0
0.0,-0.6616541353383458,-0.1964285714285715,-0.33333333333333337,-1.0,-0.8571428571428572,0.5555555555555554,-0.8245614035087719,1.0,1.0,-0.4925373134328358,-1.0,-1.0,-0.8,-0.97584,-1.0
0.0,-0.7142857142857142,-0.9285714285714286,-0.33333333333333337,-1.0,-0.8571428571428572,0.5555555555555554,-0.9414035087719298,1.0,-1.0,-1.0,-1.0,1.0,-0.7,-1.0,-1.0
-1.0,0.022556390977443552,-0.4285714285714286,-0.33333333333333337,-1.0,-0.8571428571428572,0.5555555555555554,-0.44736842105263164,1.0,1.0,-0.8208955223880597,1.0,-1.0,-1.0,-0.9748,-1.0
-1.0,-0.5888721804511278,0.03571428571428559,-0.33333333333333337,-1.0,0.857142857142857,-0.33333333333333337,-0.7835087719298246,1.0,1.0,-0.9701492537313433,-1.0,-1.0,-0.88,-0.99978,-1.0
-1.0,-0.17533834586466157,-0.5357142857142858,-0.33333333333333337,-1.0,0.4285714285714284,0.5555555555555554,-0.9649122807017544,1.0,1.0,-0.9104477611940298,1.0,-1.0,-0.855,-1.0,-1.0
-1.0,-0.9374436090225564,-0.9582142857142857,-0.33333333333333337,-1.0,-0.8571428571428572,-0.33333333333333337,-0.8947368421052632,1.0,1.0,-0.9402985074626866,-1.0,-1.0,-0.9,-1.0,-1.0
-1.0,0.0,-0.07142857142857151,-0.33333333333333337,-1.0,-0.1428571428571429,-1.0,-0.6375438596491227,1.0,1.0,-0.7313432835820896,1.0,-1.0,-1.0,-1.0,-1.0
0.0,0.28812030075187955,0.3214285714285714,-0.33333333333333337,-1.0,-0.5714285714285714,-1.0,0.05263157894736836,1.0,1.0,-0.4925373134328358,1.0,-1.0,-1.0,-1.0,-1.0
0.0,0.31338345864661665,-0.3928571428571429,-0.33333333333333337,-1.0,-0.4285714285714286,-0.33333333333333337,-0.5087719298245614,1.0,1.0,-0.9104477611940298,-1.0,-1.0,-1.0,-1.0,-1.0
0.0,-0.14796992481203008,-0.9257142857142857,-0.33333333333333337,-1.0,0.7142857142857142,0.5555555555555554,-0.6491228070175439,1.0,1.0,-0.8208955223880597,1.0,-1.0,-0.5,-0.8,-1.0
0.0,-0.5338345864661653,0.05642857142857127,-0.33333333333333337,-1.0,-1.0,0.5555555555555554,-0.6463157894736842,1.0,1.0,-0.8507462686567164,1.0,-1.0,-0.832,-1.0,-1.0
0.0,-0.15037593984962405,-0.3007142857142858,-0.33333333333333337,-1.0,0.857142857142857,-0.33333333333333337,-0.4414035087719299,1.0,1.0,-0.7611940298507462,-1.0,-1.0,-1.0,-1.0,-1.0
0.0,0.07518796992481191,-0.4582142857142858,-0.33333333333333337,-1.0,-0.1428571428571429,-1.0,-0.4677192982456141,1.0,1.0,-0.5522388059701493,1.0,-1.0,-1.0,-0.9,-1.0
-1.0,-0.30827067669172936,-0.6339285714285714,-0.33333333333333337,-1.0,-0.4285714285714286,0.5555555555555554,-0.6491228070175439,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-0.92,-1.0
-1.0,-0.7344360902255639,-0.2321428571428572,-0.33333333333333337,-1.0,0.4285714285714284,0.5555555555555554,-0.9708771929824561,1.0,1.0,-0.8507462686567164,1.0,-1.0,-1.0,-0.9888,-1.0
0.0,-0.5765413533834587,-0.8928571428571429,-0.33333333333333337,-1.0,0.7142857142857142,0.5555555555555554,-0.8596491228070176,1.0,1.0,-0.6716417910447761,1.0,-1.0,-0.5660000000000001,-0.9993,-1.0
0.0,-0.593984962406015,-0.8867857142857143,-0.33333333333333337,-1.0,-0.7142857142857143,-0.33333333333333337,-0.8712280701754386,1.0,1.0,-0.6417910447761195,1.0,-1.0,-0.41700000000000004,-0.98574,-1.0
-1.0,-0.7218045112781954,-0.1607142857142858,-0.33333333333333337,-1.0,0.857142857142857,-0.33333333333333337,-0.9649122807017544,1.0,1.0,-0.9402985074626866,1.0,-1.0,-0.7,-0.98898,-1.0
0.0,-0.5789473684210527,-0.9582142857142857,0.33333333333333326,0.33333333333333326,-0.7142857142857143,0.5555555555555554,-0.9824561403508771,1.0,1.0,-0.9402985074626866,-1.0,-1.0,-0.74,-0.99,-1.0
0.0,0.22796992481202993,-0.3275000000000001,-0.33333333333333337,-1.0,-0.2857142857142858,-0.5555555555555556,0.011578947368420911,1.0,1.0,-0.6716417910447761,1.0,-1.0,-0.97,-0.994,-1.0
0.0,-0.38586466165413524,-0.3450000000000001,-0.33333333333333337,-1.0,-0.8571428571428572,0.5555555555555554,-0.6842105263157895,1.0,1.0,-0.6417910447761195,1.0,-1.0,-1.0,-0.99558,-1.0
0.0,-0.5437593984962406,0.0714285714285714,-0.33333333333333337,-1.0,-0.8571428571428572,-0.33333333333333337,-0.6256140350877193,1.0,1.0,-0.6716417910447761,-1.0,-1.0,-1.0,-0.95434,-1.0
0.0,-0.5212030075187969,-0.8989285714285714,-0.33333333333333337,-1.0,0.7142857142857142,-0.33333333333333337,-0.9473684210526316,1.0,1.0,-0.9701492537313433,-1.0,-1.0,-0.76,-0.998,-1.0
0.0,-0.22315789473684222,-0.0060714285714287275,-0.33333333333333337,-1.0,0.7142857142857142,0.5555555555555554,-0.39473684210526316,1.0,1.0,-0.8208955223880597,1.0,-1.0,-0.9299999999999999,-1.0,-1.0
0.0,0.28330827067669184,1.0,0.33333333333333326,0.33333333333333326,-0.8571428571428572,0.5555555555555554,1.0,1.0,1.0,0.19402985074626855,-1.0,-1.0,-1.0,-0.9997,-1.0
0.0,0.2204511278195489,-0.5178571428571429,-0.33333333333333337,-1.0,-0.8571428571428572,-0.33333333333333337,-0.8157894736842105,1.0,1.0,-0.6716417910447761,1.0,-1.0,-1.0,-0.99432,-1.0
-1.0,-0.18045112781954886,-0.8542857142857143,0.33333333333333326,0.33333333333333326,0.4285714285714284,-0.33333333333333337,-0.9912280701754386,1.0,1.0,-0.31343283582089554,1.0,-1.0,-0.5449999999999999,-0.97528,-1.0
0.0,-0.4535338345864661,-0.6814285714285715,-0.33333333333333337,-1.0,-0.7142857142857143,-0.33333333333333337,-0.576140350877193,1.0,1.0,-0.9104477611940298,-1.0,-1.0,-0.6890000000000001,-0.994,-1.0
0.0,-0.16541353383458657,-0.89,-0.33333333333333337,-1.0,-0.1428571428571429,-1.0,-0.7543859649122807,-1.0,-1.0,-1.0,-1.0,-1.0,-0.784,-1.0,-1.0
0.0,-0.6941353383458646,-0.9525,-0.33333333333333337,-1.0,-0.8571428571428572,0.5555555555555554,-0.988421052631579,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9,-1.0,-1.0
-1.0,-0.6390977443609023,-0.9642857142857143,-0.33333333333333337,-1.0,-0.8571428571428572,-0.33333333333333337,-0.9385964912280702,1.0,-1.0,-1.0,1.0,-1.0,-0.509,-1.0,-1.0
0.0,-0.631578947368421,-0.9285714285714286,-0.33333333333333337,-1.0,0.4285714285714284,0.5555555555555554,-0.8771929824561404,1.0,-1.0,-1.0,1.0,-1.0,-0.72,-1.0,-1.0
0.0,-0.28812030075187955,-0.8542857142857143,-0.33333333333333337,-1.0,0.7142857142857142,0.5555555555555554,-0.9971929824561403,1.0,-1.0,-1.0,1.0,-1.0,-0.6,-0.884,-1.0
0.0,-0.3633082706766917,-0.8214285714285714,-0.33333333333333337,-1.0,0.7142857142857142,0.5555555555555554,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-0.761,-0.996,-1.0
0.0,-0.3834586466165413,-0.7857142857142857,-0.33333333333333337,-1.0,-0.7142857142857143,-0.33333333333333337,-0.47964912280701755,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
0.0,-0.7118796992481203,-0.1696428571428572,0.33333333333333326,0.33333333333333326,0.7142857142857142,0.5555555555555554,-0.9414035087719298,1.0,-1.0,-1.0,1.0,-1.0,-0.84,-0.994,-1.0
0.0,-0.7166917293233082,-1.0,-0.33333333333333337,-1.0,-0.7142857142857143,0.5555555555555554,-0.9940350877192983,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.0,-0.0803007518796992,-0.9642857142857143,-0.33333333333333337,-1.0,-0.1428571428571429,-0.33333333333333337,-0.6491228070175439,1.0,-1.0,-1.0,1.0,-1.0,-0.6799999999999999,-1.0,-1.0
0.0,-0.35578947368421043,-0.6785714285714286,-0.33333333333333337,-1.0,0.857142857142857,-0.33333333333333337,-0.5964912280701755,-1.0,-1.0,-1.0,1.0,1.0,-0.28900000000000003,-1.0,-1.0
0.0,-0.11278195488721798,-0.7857142857142857,-0.33333333333333337,-1.0,0.4285714285714284,-0.33333333333333337,-0.5789473684210527,1.0,1.0,-0.6716417910447761,-1.0,-1.0,-0.92,-1.0,-1.0
0.0,0.29323308270676685,-0.125,-0.33333333333333337,-1.0,0.2857142857142856,0.5555555555555554,-0.9122807017543859,1.0,1.0,-0.8805970149253731,1.0,-1.0,-0.8,-1.0,-1.0
0.0,-0.46105263157894727,0.15464285714285708,-0.33333333333333337,-1.0,-0.5714285714285714,0.5555555555555554,-0.7894736842105263,1.0,1.0,-0.7313432835820896,-1.0,-1.0,-0.75,-0.9854,-1.0
-1.0,-0.709172932330827,-0.9435714285714286,0.33333333333333326,0.33333333333333326,0.4285714285714284,0.5555555555555554,-0.8947368421052632,1.0,1.0,-0.9402985074626866,1.0,-1.0,-0.92,-0.992,-1.0
-1.0,-0.7993984962406014,-0.9403571428571429,-0.33333333333333337,-1.0,0.4285714285714284,0.5555555555555554,-0.8887719298245614,1.0,1.0,-0.9701492537313433,-1.0,-1.0,-1.0,-1.0,-1.0
0.0,-0.6114285714285713,-0.6964285714285714,-0.33333333333333337,-1.0,-0.7142857142857143,0.5555555555555554,-0.6989473684210527,1.0,1.0,-0.9701492537313433,1.0,-1.0,-0.88,-1.0,-1.0
0.0,-0.38586466165413524,-0.89,-0.33333333333333337,-1.0,-0.7142857142857143,0.5555555555555554,-0.8919298245614036,1.0,1.0,-0.9701492537313433,1.0,-1.0,-0.48,0.0,-1.0
-1.0,-0.3308270676691729,-0.9285714285714286,-0.33333333333333337,-1.0,-0.8571428571428572,0.5555555555555554,-0.8596491228070176,1.0,1.0,-0.6716417910447761,-1.0,-1.0,-1.0,-0.99088,-1.0
0.0,-0.6466165413533834,-0.9732142857142857,-0.33333333333333337,-1.0,0.2857142857142856,0.5555555555555554,-0.9824561403508771,1.0,1.0,-0.9104477611940298,-1.0,-1.0,-0.74,-0.69784,-1.0
0.0,-0.8294736842105263,-0.5357142857142858,-0.33333333333333337,-1.0,0.7142857142857142,-0.33333333333333337,-0.8975438596491228,1.0,1.0,-0.791044776119403,-1.0,-1.0,-0.92,-0.94092,-1.0
0.0,-0.35578947368421043,0.794642857142857,-0.33333333333333337,-1.0,0.857142857142857,-0.33333333333333337,-0.8859649122807017,1.0,1.0,-0.9701492537313433,1.0,-1.0,-0.485,-0.99,-1.0
0.0,-0.44120300751879704,-0.4642857142857143,-0.33333333333333337,-1.0,-0.4285714285714286,-1.0,-0.8887719298245614,1.0,-1.0,-1.0,1.0,1.0,-0.5800000000000001,-1.0,1.0
0.0,-0.366015037593985,-0.7142857142857143,-0.33333333333333337,-1.0,-0.5714285714285714,-1.0,-0.1228070175438597,1.0,-1.0,-1.0,1.0,-1.0,-0.8159852289512556,-1.0,1.0
-1.0,-0.25323308270676703,-0.6428571428571429,-0.33333333333333337,-1.0,-0.7142857142857143,0.5555555555555554,-0.052631578947368474,1.0,-1.0,-1.0,1.0,-1.0,-0.020000000000000018,-1.0,1.0
0.0,-0.08270676691729317,-0.9642857142857143,-0.33333333333333337,-1.0,0.2857142857142856,0.5555555555555554,-0.2456140350877194,1.0,-1.0,-1.0,-1.0,1.0,-0.6,-1.0,1.0
0.0,-0.06526315789473691,-0.5,0.33333333333333326,0.33333333333333326,-0.8571428571428572,0.5555555555555554,-0.8859649122807017,-1.0,-1.0,-1.0,-1.0,-1.0,-0.84,-0.99996,1.0
